modelo,meses_disponibles,nombre_variable,sector,frecuencia_seleccion_pct,impacto_absoluto_medio_todos_pronosticos_pp,impacto_medio_firmado_pp,reduccion_error_media_pp,proporcion_veces_ayudo_pct,periodo_impacto_maximo,ranking_importancia,modelo_etiqueta
dfm_lasso_sin_ar1,1,base monetaria: valor,financiero,3.79746835443038,0.0026540199577968,-0.0678958818682838,0.0683193024181485,66.66666666666666,2006-T2,46.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Vendas de autoveículos no mercado interno,real,1.2658227848101269,0.0023866153975617,-0.1885426164073751,0.1885426164073751,100.0,2026-T2,47.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMC comercio ampliado por actividad | Brasil | Índice de receita nominal de vendas no comércio varejista ampliado | Móveis e eletrodomésticos | PMC - Número-índice (2022=100),real,6.329113924050633,0.0023016936665705,-0.0146073296820367,0.0351684264275161,80.0,2010-T3,48.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,credito sgs: valor,financiero,2.5316455696202533,0.0021871223806445,0.0863913340354588,0.0863913340354588,100.0,2005-T2,49.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 20.3 Fabricação de resinas e elastômeros | PIMPF - Número-índice (2022=100),real,8.860759493670885,0.0018572416351073,-0.0110392726508935,-0.0110392726508935,14.285714285714285,2025-T1,50.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,empleo pnadc: ocupados miles,real,15.189873417721518,0.0018175300955944,0.0065903557677779,0.0023588438085254,41.66666666666667,2022-T2,51.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,deuda publica federal: tasa flotante miles millones brl,financiero,8.860759493670885,0.0016927554098347,-0.0068376085400333,0.0090134466440604,57.14285714285714,2010-T2,52.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 15.1 Curtimento e outras preparações de couro | PIMPF - Número-índice (2022=100),real,3.79746835443038,0.0016907930914576,-0.0187994188023083,-0.0187994188023083,33.33333333333333,2011-T2,53.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,base monetaria: valor,financiero,17.72151898734177,0.0016428873743725,-0.0031253225222749,0.0022639417282785,57.14285714285714,2012-T2,54.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,consumo mensual ibge: indice original,real,2.5316455696202533,0.0016325161158883,0.0644843865775891,0.0644843865775891,100.0,2022-T3,55.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 28.2 Fabricação de máquinas e equipamentos de uso geral | PIMPF - Número-índice (2022=100),real,1.2658227848101269,0.0016026255364084,0.1266074173762673,0.1266074173762673,100.0,2025-T1,56.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 27.5 Fabricação de eletrodomésticos | PIMPF - Número-índice (2022=100),real,7.594936708860759,0.0015039658296664,-0.0120848545255991,-0.0010426176934734,66.66666666666666,2012-T2,57.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Licenciamento Nacionais - Caminhões - montados - qde.,real,1.2658227848101269,0.0014904584753858,-0.1177462195554793,-0.1177462195554792,0.0,2012-T2,58.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Energia elétrica - consumo - região Norte (N) - quantidade,real,22.78481012658228,0.0014143426231444,0.0025167030405811,0.0016939733842379,50.0,2009-T2,59.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF indicadores especiales | Brasil | 5.3.6 Bens de consumo duráveis por atividade - Demais atividades* | PIMPF - Número-índice (2022=100),real,3.79746835443038,0.0013239703183141,-0.0330330658245446,-0.0330330658245446,33.33333333333333,2026-T1,60.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF actividades industriales | Brasil | 3.24 Metalurgia | PIMPF - Número-índice (2022=100),real,2.5316455696202533,0.001294600361025,0.0468963828395236,0.0468963828395236,50.0,2020-T4,61.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,balanza pagos: errores omisiones millones usd,externo,1.2658227848101269,0.0011098941948827,0.0876816413957398,0.0876816413957397,100.0,2009-T2,62.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF indicadores especiales | Brasil | 1.4 Bens de Capital para construção | PIMPF - Número-índice (2022=100),real,2.5316455696202533,0.0009846407996743,0.0388933115871386,0.0387032327134873,50.0,2025-T1,63.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF actividades industriales | Brasil | 3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados | PIMPF - Número-índice (2022=100)",real,3.79746835443038,0.0009308882251304,-0.0245133899284346,-0.0179114791385071,33.33333333333333,2011-T1,64.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Energia elétrica - consumo - região Centro-Oeste (CO) - quantidade,real,2.5316455696202533,0.0009239227630918,0.0364519485269708,-0.036494949142127,0.0,2005-T3,65.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,credito sgs: valor,financiero,5.063291139240507,0.0008792371749906,0.017364934206065,0.0072350124266879,50.0,2012-T2,66.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,consumo mensual ibge: indice original,real,2.5316455696202533,0.0008484513169092,0.0306458649623536,0.0306458649623536,50.0,2009-T3,67.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMC comercio ampliado por actividad | Brasil | Índice de volume de vendas no comércio varejista ampliado | Móveis e eletrodomésticos | PMC - Número-índice (2022=100),real,2.5316455696202533,0.0008484513169092,0.0306458649623536,0.0306458649623536,50.0,2009-T3,68.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Energia elétrica - Consumo - região Sudeste (SE) - quantidade,real,3.79746835443038,0.0008430542564702,-0.0015550877104528,-0.0015550877104528,66.66666666666666,2022-T4,69.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,gasto publico tesouro: pagos totales,fiscal,10.126582278481012,0.0008390274456543,-0.0082853960258369,-0.0063752683538612,12.5,2021-T4,70.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF actividades industriales | Brasil | 3.27 Fabricação de máquinas, aparelhos e materiais elétricos | PIMPF - Número-índice (2022=100)",real,5.063291139240507,0.0007908058668851,-0.0038533491624445,0.0044678381876073,75.0,2013-T3,71.0,DFM · LASSO sin AR1
